SKU,WS Notes,,Category,Supertype,Vegtype,Subtype,WS Description
KAL-RR-pktw,-,,Vegetables,BRASSICA,KALE,-,"Very tender, purple veined, oak leaved kale. Wonderful baby and adult leaves."
KAL-RF-pktw,-,,Vegetables,BRASSICA,KALE,-,Oregon-bred variation of Red Russian with hyper frilled leaves. Tender and beautiful.
LEE-LN-pktw,-,,Vegetables,ALLIUMS,LEEK,-,"Long shanked, autumn harvested variety with fantastic flavor. Also popular for baby leeks."
LEE-NE-pktw,-,,Vegetables,ALLIUMS,LEEK,-,Rust resistant fall crop with strong shanks and excellent flavor. Can overwinter in mild areas
LET-WD-pktw,-,,Vegetables,LETTUCE,LETTUCE,BIBB/ROMAINE,"Bolt resistant & crunchy (!) 8""tall upright romaine w/tight dark green, succulent leaves."
LET-DV-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,BUTTERHEAD,"Velvety green leaves, large sturdy heads, and buttery texture keep the superlatives rolling!"
LET-SB-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,BUTTERHEAD,"Red tipped leaves wrap a green, blanched yellow head, soft and delicious."
LET-TB-pktw,-,,Vegetables,LETTUCE,LETTUCE,BUTTERHEAD,*Ark Of Taste * 7”plants produce miniature 4” heads. Halve & dress. Beautiful.
LET-EM-pktw,-,,Vegetables,LETTUCE,LETTUCE,LOOSELEAF,"Green deer-tongue type w. long slender baby leaves, & upright mature heads. Crisp midribs."
LET-HR-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,LOOSELEAF,Large dark burgundy heads w/deeply textured leaves perfect for holding delicious dressings!
LET-LB-pktw,-,,Vegetables,LETTUCE,LETTUCE,LOOSELEAF,"Disease resistant powerhouse with icy-crisp, bright, chartreuse green leaves."
LET-ME-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,LOOSELEAF,Deep burgundy from the tips of the leaves to the base of the stem. Slow to bolt. Stunning.
LET-RR-pktw,-,,Vegetables,LETTUCE,LETTUCE,LOOSELEAF,"Rumpled & folded green leaves painted bright, joyful red to enliven your salads."
LET-BI-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,OAKLEAF,"Red tinged, densely curled heads. Oakleaf-meets-butterhead tenderness"
LET-FB-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,OAKLEAF,Striking combination of red speckling on apple green large frames. Excellent taste and texture.
LET-IT-pktw,-,,Vegetables,LETTUCE,LETTUCE,OAKLEAF,"A truly magnificent lettuce of tremendous size! Slow to bolt, crispy and sweet."
LET-MA-pktw,-,,Vegetables,LETTUCE,LETTUCE,OAKLEAF,"Gorgeous red oakleaf variety. Uniform, bolt resistant, and large!"
LET-BG-pktw,-,,Vegetables,LETTUCE,LETTUCE,ROMAINE,"Tight heading mini butter/romaine, with crunchy, sweet, palm sized heads."
LET-CI-pktw,-,,Vegetables,LETTUCE,LETTUCE,ROMAINE,Beautiful and huge upright bronze-red romaine. Tender leaves with crunchy midribs.
LET-ER-pktw,-,,Vegetables,LETTUCE,LETTUCE,ROMAINE,A volcano of mini savoyed romaine! Dark red tips on green leaves with a pink magma core.
LET-FT-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,ROMAINE,Selection of an old Austrian variety. Very tender apple-green leaves w/red speckles.
LET-JE-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,ROMAINE,"Very large, luminescent chartreuse savoyed leaves bred to excel in summer heat."
LET-LG-pktw,-,,Vegetables,LETTUCE,LETTUCE,ROMAINE,"Adorable palm-sized heads of dense, crunchy romaine. Great for wedge salads!"
LET-MX-pktw,Best Seller,,Vegetables,LETTUCE,LETTUCE,UPRISING,Colorful mix of all our lettuce varieties including some not yet released
WAT-BM-pktw,Best Seller,,Vegetables,CUKE & MELON,MELON,WATERMELON,"Icebox sized, 4-8lbs, very early and very sweet w/few seeds. Delicious & refreshing!"
WAT-JK-pktw,-,,Vegetables,CUKE & MELON,MELON,WATERMELON,Early maturing Polish variety with crisp yellow flesh and wonderful sweet flavor!
MEL-ER-pktw,-,,Vegetables,CUKE & MELON,MELON,-,"3-5 lb teardrop shaped w/aromatic,very creamy, sweet flesh."
MEL-GI-pktw,-,,Vegetables,CUKE & MELON,MELON,-,Yellow football shaped fruits w/sweet flavor reminiscent of honeydew. Very productive.
MEL-PF-pktw,-,,Vegetables,CUKE & MELON,MELON,-,"Drought resistant true cantaloupe w/ethereal, intoxicating fragrance and flesh."
MEL-SS-pktw,-,,Vegetables,CUKE & MELON,MELON,-,Grapefruit sized w/ delicious honeydew-esque light green flesh. Stores well in fridge.
ONI-IS-pktw,Best Seller,,Vegetables,ALLIUMS,ONION,SCALLION,Classic Japanese winter-hardy bunching onion. Long white stalks and sturdy upright leaves.
ONI-ER-pktw,-,,Vegetables,ALLIUMS,ONION,SHALLOT,"Large, productive copper-red Dutch style. Out-stores even the best storage onions!"
ONI-RJ-pktw,-,,Vegetables,ALLIUMS,ONION,STORAGE,"Dutch-bred yellow onion. Large, round, dense globes store great & taste wonderful."
ONI-RM-pktw,-,,Vegetables,ALLIUMS,ONION,STORAGE,"Unique flat-topped, northern Italian variety. Truly exceptional flavor & excellent keeper."
ONI-AC-pktw,-,,Vegetables,ALLIUMS,ONION,SWEET,Enormous (to 3lb!) globe shaped sweet onions. Better storage than most sweets.
ONI-RL-pktw,-,,Vegetables,ALLIUMS,ONION,-,Dramatic elongated shape & sweet wine red flesh. Roast! Grill! Eat fresh!
PAR-LA-pktw,-,,Vegetables,MISC,PARSNIP,-,"One of the best OP cultivars available. Selected for smooth, straight roots & canker resistance."
PEA-RV-pktw,-,,Vegetables,PEA,PEA,DRY/SOUP,*Ark Of Taste* Multicolor Umbrian dry pea eaten in soups and ground for polenta.
PEA-MA-pktw,Best Seller,,Vegetables,PEA,PEA,SHELLING,Sweet & productive w. 10 peas/pod! Excellent enation and powdery mildew resistance. 2’ tall
PEA-CA-pktw,Best Seller,,Vegetables,PEA,PEA,SNAP,Medium climber to 3.5’. Prolific bearer of fat and superbly sweet pods.
PEA-SS-pktw,Best Seller,,Vegetables,PEA,PEA,SNAP/CLIMBING,Reigns supreme as the sweetest most flavorful pea! Vigorous 5-6’ vines require staking.
PEA-SA-pktw,Best Seller,,Vegetables,PEA,PEA,SNAP/DWARF,"Extra-early snap peas on 18-24""vines that don’t require staking. Excellent sweet eating!"
PEA-GS-pktw,-,,Vegetables,PEA,PEA,SNOW,Unique variety collected in India. 5-6’ with purple flowers & sweet golden pods.
PEA-HL-pktw,Best Seller,,Vegetables,PEA,PEA,SNOW,Dwarf 2.5’ vines yield early and prolifically. Excellent flavor and disease resistance.
PEA-SR-pktw,Best Seller,,Vegetables,PEA,PEA,SNOW,"6’vines of productive, tender, and sweet peas. Lovely bi-color purple/pink blooms."
PEP-BA-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,HOT,Treasured med-hot chili of the Basque region known locally as “Espelette”. Robust flavor!
PEP-PA-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,HOT,"Pick these smoky little numbers young! Blister in olive oil, sprinkle w/salt, eat. Repeat."
PEP-SG-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,HOT,Beautiful and productive long yellow chile originally from Kosovo. Cayenne size & heat
PEP-BR-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,HOT/SWEET,Highly productive marble-sized Brazilian pepper with pointed ends and captivating flavor. Sweet & vegetal with a hint of spice.
PEP-EE-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,SWEET,"Huge, thick walled peppers w/pointed tips & sweet, rich flavor. Traditional Serbian variety."
PEP-JN-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,SWEET,"*Ark Of Taste* Very sweet, reliable, early maturing, long red Italian frying peppers."
PEP-MP-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,SWEET,"Sweet, bright yellow, popular Polish bell-type w/thick-walled fruits on sturdy upright plants."
PEP-PM-pktw,-,,Vegetables,PEPPER & EGGPLANT,PEPPER,SWEET,"Wavy, orange, thin-walled peppers w/ exceptional flavor from Provence. Pickle em!"
PUM-LP-pktw,-,,Vegetables,SQUASH,PUMPKIN,PIE,"Bright orange, cylindrical fruits w/fine textured flesh. Highly productive vines, so get baking!"
PUM-WL-pktw,-,,Vegetables,SQUASH,PUMPKIN,PIE,"Vigorous and productive vines w/3-4 med. fruits each. Rich, sweet flesh. P.I.E.!"
RAD-FB-pktw,Best Seller,,Vegetables,MISC,RADISH,-,"Beautiful oblong roots, 2/3 red w/a white tip. Mild and very quick to grow."
RAD-SO-pktw,Best Seller,,Vegetables,MISC,RADISH,-,A classic look done well. Uniform round red roots of superior quality even to large size.
SPI-BE-pktw,-,,Vegetables,GREENS,SPINACH,-,Striking red veined spinach with a mild sweet flavor & buttery tenderness. Best as baby leaf.
SPI-WB-pktw,Best Seller,,Vegetables,GREENS,SPINACH,-,Outstanding savoy leafed strain. Excellent year round & adapted to over-winter conditions.
SPI-WG-pktw,Best Seller,,Vegetables,GREENS,SPINACH,-,Excellent and cold hardy smooth-leaf variety. Tender leaves grow exceptionally large.
SQU-OD-pktw,-,,Vegetables,SQUASH,SQUASH,SUMMER,"From Ukraine, a “cousa” type squash w/thin pale green skin and impossibly creamy flesh."
SQU-YC-pktw,Best Seller,,Vegetables,SQUASH,SQUASH,SUMMER,"A summer classic. Prolific, deliciously buttery, bright yellow fruits."
ZUC-CR-pktw,Best Seller,,Vegetables,SQUASH,SQUASH,SUMMER/ZUCCHINI,Light green Italian variety w/prominent ribbing & unparalleled flavor. Large vines & flowers.
ZUC-DS-pktw,Best Seller,,Vegetables,SQUASH,SQUASH,SUMMER/ZUCCHINI,"A new standard for open-pollinated zukes. Very refined, uniform, dark green angular fruits"
SQU-BI-pktw,-,,Vegetables,SQUASH,SQUASH,WINTER,"Montana bred, early buttercup variety. Flakey, nutty flesh. Excellent storage and very reliable."
SQU-BF-pktw,-,,Vegetables,SQUASH,SQUASH,WINTER,Lovely flakey texture and rich nutty deliciousness! Med. vines produce 3-4 squash.
SQU-FU-pktw,-,,Vegetables,SQUASH,SQUASH,WINTER,"2-3# heavily ribbed fruits ripen from dark green to chestnut, with fine texture & fruity flavor."
SQU-BB-pktw,Best Seller,,Vegetables,SQUASH,SQUASH,WINTER,Early maturing bush butternut variety. Medium 2-4 lb fruit w/tiny seed cavities. Delish!
SQU-SM-pktw,-,,Vegetables,SQUASH,SQUASH,WINTER,"Sweet, thick, dry flesh makes for excellent eating. Vigorous vines. Long keeper."
SQU-ZE-pktw,Best Seller,,Vegetables,SQUASH,SQUASH,WINTER,"Very popular, sweet and creamy. 1 lb squashes are perfect to roast and share between two."
SQU-ZM-pktw,-,,Vegetables,SQUASH,SQUASH,WINTER,Slate blue turban-shaped winter squash from northern Italy. 5-8lb fruits with rich flesh esp good for roasting & filling pastas.
TGC-DM-pktw,-,,Vegetables,MISC,TOMATILLO,-,Husked tomato relative famous for making salsa verde. Sprawling bushy plants w/purple fruits.
TOM-BC-pktw,Best Seller,,Vegetables,TOMATO,TOMATO,CHERRY,"Outrageously good & fruitful chestnut-red cherry w/deep, sweet, complex flavor. Indet."
TOM-BL-pktw,-,,Vegetables,TOMATO,TOMATO,CHERRY,"Fabulously sweet & fruity flavor, gorgeous red marbled skin, & elongated fruits! Indet."
TOM-PI-pktw,-,,Vegetables,TOMATO,TOMATO,CHERRY,Huge trusses of pink cherries w/rich summertime flavor! Our favorite. Indet.
TOM-SO-pktw,Best Seller,,Vegetables,TOMATO,TOMATO,CHERRY,"Tons of very sweet, fruity & delicious orange cherries w/a long harvest period. Yum! Indet."
TOM-AF-pktw,-,,Vegetables,TOMATO,TOMATO,SALADETTE,"Ruffled orange 3-5oz beauties w/blushed red blossom end. Early, tasty & productive! Indet."
TOM-JF-pktw,-,,Vegetables,TOMATO,TOMATO,SALADETTE,"Wonderfully reliable, productive tomato! 4-5oz orange fruits. Bright juicy flavor. Indet."
TOM-LA-pktw,-,,Vegetables,TOMATO,TOMATO,SALADETTE,We challenge you to find an earlier tomato! 2’plants bear 2-4oz fruit w/real flavor. Det.
TOM-MA-pktw,-,,Vegetables,TOMATO,TOMATO,SALADETTE,Fantastically flawless early sets of 4-6oz delicious fruit with balanced flavor. Indet.
TOM-ST-pktw,Best Seller,,Vegetables,TOMATO,TOMATO,SALADETTE,"Very early, productive & reliable 3-4oz fruits w/ideal balance of sweet/acid. 4’ Indet. vines."
TOM-BP-pktw,-,,Vegetables,TOMATO,TOMATO,SLICER,Garnet red w/ chesnut shoulders and a lingering fruity richness. Excellent. Indet.
TOM-NE-pktw,-,,Vegetables,TOMATO,TOMATO,SLICER,"Fantastic & early mid-season slicer w/ heavy, crack resistant 1/2lb fruit set. Indeter."
TOM-AL-pktw,-,,Vegetables,TOMATO,TOMATO,SLICER/SAUCER,Delectable 12-16oz red ruffled oxheart type roaster/saucer/slicer from NW Italy. Indet.
HER-AH-pktw,-,,Herbs,HERBS,ANISE HYSSOP,-,Sweet smelling beneficial insect attracting 3-4’ plant with purple blooms.
HER-IL-pktw,Best Seller,,Herbs,HERBS,BASIL,-,"Large, lovely Genovese-type basil. Tender and sweetly fragrant leaves. Make pesto!"
HER-GC-pktw,-,,Herbs,HERBS,CHAMOMILE,GERMAN,Cheerful small daisy-like blooms atop ferny foliage. Intoxicating scent; traditionally used for calming/digestive teas.
HER-PJ-pktw,Best Seller,,Herbs,HERBS,CILANTRO,-,"The best tasting variety of cilantro we know of. Excellent growth, slow to bolt."
HER-GK-pktw,Best Seller,,Herbs,HERBS,DILL,-,Slow to bolt variety excellent for fresh leaf & seed head production. Stunning in bouquets!
HER-EC-pktw,Best Seller,,Herbs,HERBS,ECHINACEA,PURPUREA,"Native to N. American prairies, 3’ purple, daisy-like flowers. Immune booster."
HER-HY-pktw,-,,Herbs,HERBS,HYSSOP,-,"Perennial herb with deep violet flowers. Make tea and cough syrup w/ aerial parts to treat colds, sore throats, flu…"
HER-MT-pktw,-,,Herbs,HERBS,MARIGOLD,-,"Lovely tarragon/anise flavor and aroma, eat both leaves and vibrant yellow flowers."
HER-ME-pktw,-,,Herbs,HERBS,NEPITELLA,-,"Sprawling Italian culinary herb with a flavor akin to oregano, marjoram and mint."
HER-MP-pktw,Best Seller,,Herbs,HERBS,PARSLEY,FLATLEAF,Aromatic and floral w/a touch of celery seed pungency. Delicate fernlike stems. A favorite!
HER-SC-pktw,-,,Herbs,HERBS,SCULPIT,-,Rare aromatic leaf-herb from N. Italy. Very ornamental white fringed balloon flowers.
HER-BF-pktw,-,,Herbs,HERBS,TRIGONELLA,-,"European species of Fenugreek w/a strong maple aroma, mild flavor, excellent on pizza."
